,Year,Canary,Balearic,Crete,Cyprus,Malta,Madeira,Corsica,Sicily,Sardinia,Antillas,Azores,Share_Canary,Share_Balearic,Share_Crete,Share_Cyprus,Share_Malta,Share_Madeira,Share_Corsica,Share_Sicily,Share_Sardinia,Share_Antillas,Share_Azores,Total
0,2010,10577063,8885124,2829150,2429235,1276983,840510,1951794,4025082,2384423,299946,327970,0.295,0.248,0.079,0.068,0.036,0.023,0.054,0.112,0.067,0.008,0.009,35827280
1,2011,11636316,9869849,3047128,2494714,1342460,895168,2370742,4221641,2242707,327732,341166,0.300,0.254,0.079,0.064,0.035,0.023,0.061,0.109,0.058,0.008,0.009,38789623
2,2012,11273043,9959500,3242910,2530151,1350986,846672,2338797,4331580,2119118,318340,320128,0.292,0.258,0.084,0.065,0.035,0.022,0.061,0.112,0.055,0.008,0.008,38631225
3,2013,11573199,10164554,3438692,2388389,1460645,957513,2807921,4473376,2174232,345360,332251,0.288,0.253,0.086,0.060,0.036,0.024,0.070,0.112,0.054,0.009,0.008,40116132
4,2014,12123714,10111885,4019529,2369620,1554679,1024451,2610948,4621370,2391408,620138,356775,0.290,0.242,0.096,0.057,0.037,0.025,0.062,0.111,0.057,0.015,0.009,41804517
5,2015,12232158,10392607,4168698,2315875,1586068,1108042,2661701,4528859,2609692,573108,439451,0.287,0.244,0.098,0.054,0.037,0.026,0.062,0.106,0.061,0.013,0.010,42616259
6,2016,13351042,11635493,4657648,2729961,1619532,1248374,2728642,4408499,2879495,580725,518104,0.288,0.251,0.100,0.059,0.035,0.027,0.059,0.095,0.062,0.013,0.011,46357515
7,2017,13875409,12050355,4961716,2946461,1829467,1337280,2937321,4857542,3097366,659089,604647,0.282,0.245,0.101,0.060,0.037,0.027,0.060,0.099,0.063,0.013,0.012,49156653
8,2018,13633789,12191598,6217960,3177161,1982579,1313257,2968645,4998055,3280894,706234,705534,0.266,0.238,0.122,0.062,0.039,0.026,0.058,0.098,0.064,0.014,0.014,51175706
9,2019,13471591,12425741,6144337,3242957,2022912,1291268,2901518,5120421,3444058,685659,754521,0.262,0.241,0.119,0.063,0.039,0.025,0.056,0.099,0.067,0.013,0.015,51504983
