,Canary,Balearic,Crete,Cyprus,Malta,Madeira,Corsica,Sicily,Sardinia,Antillas,Azores
Canary,0.0,24.066666666666606,15.300000000000011,1.6333333333333258,2.0,0.8333333333333286,7.199999999999989,0.0,5.899999999999977,1.0999999999999996,0.0
Balearic,0.0,0.0,3.2333333333333485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40000000000000036,0.0
Cyprus,0.0,5.933333333333323,2.6666666666666643,0.0,0.0,0.6333333333333329,1.7999999999999972,0.0,0.0,0.0,0.033333333333333215
Malta,0.0,2.066666666666663,0.6999999999999993,0.3000000000000007,0.0,0.0,0.0,1.4666666666666686,0.0,0.0,0.0
Madeira,0.0,2.9666666666666757,1.3333333333333321,0.0,0.7999999999999998,0.0,0.5999999999999996,1.2333333333333343,0.0,0.0,0.3333333333333335
Corsica,0.0,1.3333333333333144,4.800000000000011,0.0,0.7666666666666675,0.0,0.0,0.0,0.36666666666667425,0.033333333333333215,0.33333333333333304
Sicily,3.633333333333354,12.633333333333383,3.23333333333332,1.93333333333333,0.0,0.0,5.433333333333337,0.0,3.9666666666666828,2.1000000000000005,0.0
Sardinia,0.0,9.300000000000011,2.0333333333333456,1.5333333333333385,0.5,0.03333333333333499,0.0,0.0,0.0,0.5333333333333332,0.5666666666666664
Antillas,0.0,1.1999999999999993,0.0,0.1333333333333333,0.33333333333333326,0.06666666666666654,0.0,0.0,0.0,0.0,0.0
Azores,1.1333333333333329,0.6999999999999993,0.8666666666666663,0.0,0.0,0.0,0.0,0.06666666666666643,0.0,0.0,0.0
